X,City,Year,CO,Humidity,NO2,O3,PM10,PM25,SO2,Temperature,lat,lng,IPM25,IPM10,INO2,IO3,IQA,Country
33,Beijing,2023,4.68952879581152,40.8141361256545,12.9874345549738,29.692670157068,65.0261780104712,96.3769633507853,1.55026178010471,12.0157068062827,39.9042,116.4074,19.2753926701571,4.33507853403141,1.29874345549738,0.494877835951134,21.0690139616056,China
34,Bogotá,2019,6.74806629834254,71.689701897019,7.38756906077348,4.22127071823205,27.5690607734807,53.2634408602151,0.694751381215471,7.27750677506775,4.711,-74.0721,10.652688172043,1.83793738489871,0.738756906077348,0.0703545119705341,11.4617995900909,Colombia
35,Bogotá,2020,5.92258883248731,68.0514511873351,6.12258883248731,5.11598984771574,24.3426395939086,52.3686868686869,0.624111675126903,14.2013157894737,4.711,-74.0721,10.4737373737374,1.62284263959391,0.612258883248731,0.085266497461929,11.171262754448,Colombia
36,Bogotá,2021,5.88817480719794,69.7880829015544,5.79768637532134,4.35218508997429,22.7017994858612,48.961439588689,0.658354755784061,13.9139896373057,4.711,-74.0721,9.79228791773779,1.51345329905741,0.579768637532134,0.0725364181662382,10.4445929734362,Colombia
37,Bogotá,2022,5.50969899665552,70.7415282392027,6.0458193979933,3.33946488294315,25.3377926421405,53.6146179401993,0.691304347826087,13.7644518272425,4.711,-74.0721,10.7229235880399,1.6891861761427,0.60458193979933,0.0556577480490524,11.3831632758883,Colombia
38,Bogotá,2023,4.74595300261097,68.3937984496125,5.90652741514361,4.45013054830287,23.5352480417755,50.8837209302326,0.640992167101827,14.591472868217,4.711,-74.0721,10.1767441860465,1.56901653611836,0.590652741514361,0.0741688424717145,10.8415657700326,Colombia
39,Brussels,2019,0.100000000000001,70.7709239130434,10.416890080429,18.0914209115282,16.4959785522788,41.4235924932976,0.919892473118283,12.9578804347826,50.8503,4.3517,8.28471849865952,1.09973190348525,1.0416890080429,0.301523681858803,9.62793118856122,Belgium
40,Brussels,2020,0.100000000000001,73.2035230352303,7.47638483965015,19.6958944281525,15.6736842105263,36.521052631579,0.909230769230769,12.3430894308943,50.8503,4.3517,7.30421052631579,1.04491228070175,0.747638483965015,0.328264907135875,8.38011391741668,Belgium
41,Brussels,2021,0.1,73.4832904884319,8.28350515463917,21.4357512953368,15.7095115681234,41.3598971722365,0.860989010989008,11.9634961439589,50.8503,4.3517,8.2719794344473,1.04730077120823,0.828350515463917,0.357262521588947,9.45759247150016,Belgium
42,Brussels,2022,NA,65.8285714285714,NA,NA,14.8235294117647,34.936974789916,NA,16.4504201680672,50.8503,4.3517,6.98739495798319,0.988235294117647,NA,NA,6.98739495798319,Belgium
43,Brussels,2023,0.0999999999999998,74.9228571428572,6.4044776119403,25.9873134328358,16,39.7313432835821,0.904511278195487,11.5578571428571,50.8503,4.3517,7.94626865671642,1.06666666666667,0.64044776119403,0.433121890547264,9.01983830845771,Belgium
44,Buenos Aires,2019,2.88169014084508,55.0821138211383,9.48053097345133,10.5337078651685,17.8438356164384,39.7410468319559,5.49952153110047,14.1867208672087,-34.6037,-58.3816,7.94820936639119,1.18958904109589,0.948053097345133,0.175561797752809,9.07182426148913,Argentina
45,Buenos Aires,2020,3.79489795918367,70.4744063324538,8.31916010498686,6.78093922651934,16.8257575757576,35.4986737400531,3.15219298245615,17.8836411609499,-34.6037,-58.3816,7.09973474801061,1.12171717171717,0.831916010498686,0.113015653775322,8.04466641228462,Argentina
46,Buenos Aires,2021,1.63921568627452,74.3945736434108,8.12603550295857,9.5410094637224,15.8300835654596,35.2929577464789,2.89000000000001,17.8770025839793,-34.6037,-58.3816,7.05859154929578,1.05533890436397,0.812603550295857,0.159016824395373,8.03021192398701,Argentina
47,Buenos Aires,2022,2.92292358803987,71.0149501661129,8.18323353293413,11.0307432432433,23.1188811188811,42.2958333333333,2.46483050847459,16.3279069767442,-34.6037,-58.3816,8.45916666666666,1.54125874125874,0.818323353293413,0.183845720720721,9.4613357406808,Argentina
